Handle,Title,Vendor,Type,Tags,Published,Option1 Name,Option1 Value,Variant Price,Variant Inventory Qty,Variant Inventory Tracker,Status
biore-essence,Biore UV Aqua Rich Watery Essence SPF50+,Biore,sunscreen,"japjapvan,sunscreen,preorder,JP,CAD,trends-listed",true,Title,Default Title,24,0,shopify,active
melano-cc,Rohto Melano CC Intensive Essence,Rohto,skincare,"japjapvan,skincare,preorder,JP,CAD,trends-listed",true,Title,Default Title,21,0,shopify,active
anessa-milk,Anessa Perfect UV Sunscreen Milk SPF50+,Anessa,sunscreen,"japjapvan,sunscreen,preorder,JP,CAD,trends-listed",true,Title,Default Title,38,0,shopify,active
fino-mask,Fino Premium Touch Hair Mask 230g,Fino,hair,"japjapvan,hair,preorder,JP,CAD,trends-listed",true,Title,Default Title,18,0,shopify,active
curel-cream,Curel Intensive Moisture Cream 40g,Curel,skincare,"japjapvan,skincare,preorder,JP,CAD,trends-listed",true,Title,Default Title,29,0,shopify,active
canmake-uv,Canmake Mermaid Skin Gel UV SPF50+,Canmake,sunscreen,"japjapvan,sunscreen,preorder,JP,CAD,trends-listed",true,Title,Default Title,19,0,shopify,active
hada-lotion,Hada Labo Gokujyun Premium Lotion 170ml,Hada Labo,skincare,"japjapvan,skincare,preorder,JP,CAD,trends-listed",true,Title,Default Title,24,0,shopify,active
pilot-frixion,Pilot FriXion Ball Knock 0.5 5-pack,Pilot,stationery,"japjapvan,stationery,preorder,JP,CAD,trends-listed",true,Title,Default Title,16,0,shopify,active
zebra-sarasa,Zebra Sarasa Clip Vintage 5-pack,Zebra,stationery,"japjapvan,stationery,preorder,JP,CAD,trends-listed",true,Title,Default Title,15,0,shopify,active
uni-one,Uni-ball Uni-ball One 0.38 8-colour,Uni-ball,stationery,"japjapvan,stationery,preorder,JP,CAD,trends-listed",true,Title,Default Title,24,0,shopify,active
heroine-mascara,Heroine Make Long & Curl Mascara Advanced,Heroine Make,makeup,"japjapvan,makeup,preorder,JP,CAD,trends-listed",true,Title,Default Title,20,0,shopify,active
skinaqua-tone,Skin Aqua Tone Up UV Essence SPF50+,Skin Aqua,sunscreen,"japjapvan,sunscreen,preorder,JP,CAD,trends-listed",true,Title,Default Title,20,0,shopify,active
biore-gel,Biore UV Aqua Rich Watery Gel SPF50+,Biore,sunscreen,"japjapvan,sunscreen,preorder,JP,CAD,trends-listed",true,Title,Default Title,24,0,shopify,active
naturie-gel,Naturie Hatomugi Skin Conditioning Gel,Naturie,skincare,"japjapvan,skincare,preorder,JP,CAD,trends-listed",true,Title,Default Title,17,0,shopify,active
kokuyo-campus,Kokuyo Campus Dot Lined B5 5-pack,Kokuyo,stationery,"japjapvan,stationery,preorder,JP,CAD,trends-listed",true,Title,Default Title,19,0,shopify,active
dhc-oil,DHC Deep Cleansing Oil 200ml,DHC,skincare,"japjapvan,skincare,preorder,JP,CAD,trends-listed",true,Title,Default Title,26,0,shopify,active
midori-md,Midori MD Notebook A5 Grid,Midori,stationery,"japjapvan,stationery,preorder,JP,CAD,trends-listed",true,Title,Default Title,24,0,shopify,active
hobonichi-weeks,Hobonichi Techo Weeks English 2027,Hobonichi,stationery,"japjapvan,stationery,preorder,JP,CAD,trends-listed",true,Title,Default Title,52,0,shopify,active
tombow-mono,Tombow MONO Dust Catch Eraser 3-pack,Tombow,stationery,"japjapvan,stationery,preorder,JP,CAD,trends-listed",true,Title,Default Title,11,0,shopify,active
tsubaki-oil,Tsubaki Premium Repair Hair Oil 50ml,Tsubaki,hair,"japjapvan,hair,preorder,JP,CAD,trends-listed",true,Title,Default Title,21,0,shopify,active
