id,brand,name,category,origin,sku,keyword,landed_cad,sell_cad,weight_g,bulky,regulatory,uniqueness,repeat,preorder_fit,supplier,moq,lead_days,ca_trend,jp_trend,hk_trend,rising,stock,incoming,weekly_velocity,preorders,notes,score,selected,buy_qty
biore-essence,Biore,UV Aqua Rich Watery Essence SPF50+,sunscreen,JP,SN-BI-ARE50,Biore Aqua Rich Essence,10.8,24,80,1,cnf,6,10,9,Kao Export Desk,24,16,88,95,90,true,22,48,18,31,Category captain. Restock weekly.,0.8474,1,72
melano-cc,Rohto,Melano CC Intensive Essence,skincare,JP,SN-RO-MCC20,Melano CC,9.6,21,55,1,cnf,7,9,9,Rohto Asia,12,16,74,91,85,true,16,24,9.4,14,"Tiny, high margin, fast ship.",0.8122,1,24
anessa-milk,Anessa,Perfect UV Sunscreen Milk SPF50+,sunscreen,JP,SN-AN-PUM60,Anessa Perfect UV,18.5,38,95,1,cnf,7,9,9,Shiseido Sun,12,18,79,93,88,true,8,12,7.8,15,Outdoor / sweat story.,0.8082,1,36
fino-mask,Fino,Premium Touch Hair Mask 230g,hair,JP,SN-FI-PTM230,Fino Premium Touch,8.1,18,280,3,cnf,6,9,9,Shiseido Mass,12,16,84,90,86,true,12,24,10.5,13,Cult hair mask. Always keep.,0.7961,1,36
curel-cream,Curel,Intensive Moisture Cream 40g,skincare,JP,SN-CU-IMC40,Curel moisture cream,14,29,90,1,cnf,7,9,9,Kao Export Desk,12,18,69,90,83,true,8,12,7.4,11,Sensitive-skin staple in Vancouver winters.,0.7867,1,36
canmake-uv,Canmake,Mermaid Skin Gel UV SPF50+,sunscreen,JP,SN-CM-MSG40,Canmake Mermaid Skin,8.8,19,70,1,cnf,7,8,8,Ida Laboratories,12,18,68,84,79,true,9,0,6.2,8,Makeup + sun hybrid.,0.7818,1,36
hada-lotion,Hada Labo,Gokujyun Premium Lotion 170ml,skincare,JP,SN-HL-GPL170,Hada Labo Gokujyun,11.5,24,220,2,cnf,5,9,9,Matsukiyo Export,12,18,81,92,78,true,18,24,11,16,Highest velocity hydrator.,0.7795,1,36
pilot-frixion,Pilot,FriXion Ball Knock 0.5 5-pack,stationery,JP,SN-PI-FBK05,Pilot FriXion,7.2,16,45,1,none,5,8,9,Pilot Stationery,20,14,70,78,62,false,28,40,9.8,6,Always-on stationery hero.,0.7788,1,0
zebra-sarasa,Zebra,Sarasa Clip Vintage 5-pack,stationery,JP,SN-ZE-SCV05,Zebra Sarasa Clip,6.9,15,40,1,none,6,8,9,Zebra Stationery,20,14,65,80,59,false,22,20,7.2,4,Vintage colours sell out.,0.7742,1,0
uni-one,Uni-ball,Uni-ball One 0.38 8-colour,stationery,JP,SN-UN-ONE38,Uni-ball One,11.4,24,60,1,none,7,7,8,Mitsubishi Pencil,12,16,58,81,54,true,9,12,4.6,5,Pigment ink cult following.,0.7710,1,12
heroine-mascara,Heroine Make,Long & Curl Mascara Advanced,makeup,JP,SN-HM-LCM,Heroine Make mascara,9.1,20,28,1,cnf,7,7,8,KISSME,12,18,64,88,80,true,7,12,4.8,6,Cult lash product.,0.7709,1,12
skinaqua-tone,Skin Aqua,Tone Up UV Essence SPF50+,sunscreen,JP,SN-SA-TUE80,Skin Aqua Tone Up,9.4,20,95,1,cnf,7,8,8,Rohto Asia,12,16,63,80,73,true,6,12,5.5,7,Tone-up without makeup.,0.7642,1,24
